Connecting to host 192.168.3.2, port 10021
[  6] local 192.168.2.2 port 40290 connected to 192.168.3.2 port 10021
[  6]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec    0    291 KBytes       
[  6]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0    430 KBytes       
[  6]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    0    567 KBytes       
[  6]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec    0    702 KBytes       
[  6]   5.00-6.00   sec  0.00 Bytes  0.00 bits/sec    0    835 KBytes       
[  6]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec    0    973 KBytes       
[  6]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    0   1.08 MBytes       
[  6]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    0   1.22 MBytes       
[  6]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    0   1.35 MBytes       
[  6]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    0   1.48 MBytes       
[  6]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    0   1.59 MBytes       
[  6]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec    0   1.74 MBytes       
[  6]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    0   1.85 MBytes       
[  6]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    0   1.99 MBytes       
[  6]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    0   2.13 MBytes       
[  6]  16.00-17.00  sec  42.0 MBytes   352 Mbits/sec    0   2.43 MBytes       
[  6]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    0   2.83 MBytes       
[  6]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0   3.27 MBytes       
[  6]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    0   3.78 MBytes       
[  6]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    0   4.31 MBytes       
[  6]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    0   4.89 MBytes       
[  6]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    0   5.56 MBytes       
[  6]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0   6.22 MBytes       
[  6]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec  449   4.99 MBytes       
[  6]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec  576   4.39 MBytes       
[  6]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    0   4.39 MBytes       
[  6]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    0   4.43 MBytes       
[  6]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0   4.57 MBytes       
[  6]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    0   4.78 MBytes       
[  6]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0   5.01 MBytes       
[  6]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    0   5.23 MBytes       
[  6]  32.00-33.00  sec  41.9 MBytes   351 Mbits/sec  120   4.51 MBytes       
[  6]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec  160   3.65 MBytes       
[  6]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec   12   3.70 MBytes       
[  6]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0   3.72 MBytes       
[  6]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0   3.82 MBytes       
[  6]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    0   3.94 MBytes       
[  6]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0   4.06 MBytes       
[  6]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    0   4.17 MBytes       
[  6]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec    0   4.26 MBytes       
[  6]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec    0   4.33 MBytes       
[  6]  42.00-43.00  sec  0.00 Bytes  0.00 bits/sec    0   4.38 MBytes       
[  6]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec    0   4.42 MBytes       
[  6]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec    0   4.45 MBytes       
