SduHoldingQueue:vector ExtClientServerExample.gnb.cellularNic.rlc.UmTxEntity Lcid: 1 (#0 - test-0-20250830-13:43:36-16472),
69.5398388728,500
70.2196187798,500
105.0427273488,500
106.4069545628,500
107.8669940228,500
109.2239857578,500
110.5759920578,500
112.0057390748,500
113.4319523168,500
114.8539805058,500
116.3168048018,500
117.7246326418,500
119.0928273958,500
