rlcDelayDl:vector ExtClientServerExample.ue.cellularNic.nrRlc.um (#0 - test-0-20250830-13:43:36-16472),
0.704,0.005195587199999998
0.704,0.004722308199999998
0.705,0.005358421199999999
0.706,0.006024523199999999
0.706,0.005490920199999999
0.707,0.006130217199999999
0.707,0.0056626122
0.708,0.006312773199999999
0.709,0.005229134199999999
0.709,0.0045929882
0.71,0.005220780199999998
0.71,0.004697738199999999
0.711,0.005337168199999998
0.712,0.006002916199999999
0.712,0.0054784472
0.713,0.006112411199999999
0.713,0.005183622199999999
0.714,0.005620708199999999
0.715,0.006253836199999999
0.715,0.005678992199999999
0.716,0.0063061782
0.716,0.005742473199999998
0.717,0.006381635199999999
0.718,0.007049942199999999
0.718,0.006510144199999999
0.719,0.007158528199999999
0.719,0.006576389199999999
0.72,0.007199191199999999
0.721,0.0065536012
0.721,0.006183937199999999
0.722,0.006633037199999998
0.723,0.007276814199999998
0.723,0.006712127199999999
0.724,0.0073490042
0.724,0.0070179322
0.725,0.007508716199999999
0.726,0.008156389199999999
0.726,0.007245701199999999
0.727,0.007706179199999999
0.727,0.007344117199999999
0.728,0.007750259199999999
0.729,0.0083773392
0.729,0.0080412932
0.73,0.008482330199999998
0.73,0.008127145199999997
0.731,0.008576416199999999
0.732,0.009232326199999998
0.732,0.008689201199999999
0.733,0.009336914199999997
0.733,0.009013448199999999
0.734,0.0071869832
0.735,0.007569430199999999
0.735,0.007205456199999999
0.736,0.007665820199999999
0.736,0.007304911199999999
0.737,0.0074537552
0.738,0.0080949142
0.738,0.007548513199999998
0.739,0.008191649199999997
0.74,0.0086526762
0.74,0.008296325199999999
0.741,0.008759845199999997
0.741,0.008418042199999999
0.742,0.009100148199999998
0.743,0.009579195199999997
0.743,0.009236977199999999
0.744,0.009721728199999998
0.744,0.009382698199999997
0.745,0.010048744199999997
0.746,0.008434333199999997
0.746,0.008059966199999997
0.747,0.008540559199999998
0.747,0.008195187199999998
0.748,0.0087032722
0.749,0.0093585212
0.749,0.009038887199999998
0.75,0.009195705199999997
0.75,0.008636037199999998
0.751,0.009289117199999998
0.752,0.009758988199999998
0.752,0.0094125052
0.753,0.010090593199999997
0.753,0.009556385199999999
0.754,0.010195315199999999
0.755,0.010665867199999998
0.755,0.0103233522
0.756,0.011004418199999997
0.756,0.010557405199999998
0.757,0.011218473199999998
0.758,0.0096892872
0.758,0.009305370199999999
0.759,0.009786871199999998
0.76,0.010440133199999999
0.76,0.0101181602
0.761,0.010526059199999999
0.761,0.0101513872
0.762,0.010324660199999998
0.763,0.010772253199999998
0.763,0.0104264872
0.764,0.0111060862
0.764,0.0105671292
0.765,0.011218897199999997
0.766,0.0116949732
0.766,0.011354321199999999
0.767,0.012030752199999997
0.767,0.011572907199999999
0.768,0.012229917199999999
0.769,0.012682704199999998
0.769,0.0123317532
0.77,0.013012871199999997
0.77,0.010473712199999998
0.771,0.011067626199999999
0.772,0.011531991199999997
0.772,0.011183941199999998
0.773,0.011666641199999997
0.773,0.011319591199999999
0.774,0.012000808199999997
0.775,0.012151797199999998
0.775,0.011601847199999997
0.776,0.0122581592
0.777,0.012708831199999999
0.777,0.012357945199999997
0.778,0.0130312692
0.778,0.0125150472
0.779,0.0131730912
0.78,0.013709165199999997
0.78,0.013368055199999999
0.781,0.014049980199999999
0.781,0.013572689199999998
0.782,0.014219334199999999
0.783,0.0125999382
0.783,0.0122353002
0.784,0.0127289272
0.784,0.012370336199999998
0.785,0.013043736199999999
0.786,0.013508884199999997
0.786,0.013162856199999999
0.787,0.013356699199999998
0.787,0.013017853199999998
0.788,0.013513786199999998
0.789,0.014167387199999999
