rlcThroughputDl:vector ExtClientServerExample.ue.cellularNic.nrRlc.um (#0 - test-0-20250830-13:43:36-16472),
0.527,562571.1574952600045
0.528,564333.3333333299945
0.528,567160.9848484799715
0.53,567837.7358490598835
0.531,569580.0376647799255
0.534,569176.0299625499155
0.535,570902.8037383200125
0.536,572623.134328359969
0.536,575408.58208954986
0.537,577117.3184357499685
0.538,578819.7026022300105
0.538,581594.7955390298725
0.539,583285.7142857098935
0.54,584970.3703703698685
0.54,587735.1851851900555
0.541,589408.5027726399705
0.541,592168.20702402992
0.542,593830.2583025798655
0.543,595486.18784529995
0.543,598235.7274401499875
0.544,599880.514705879844
0.544,602625
0.545,604258.715596329885
0.546,605886.446886450051
0.546,608620.8791208800385
0.547,610237.6599634399155
0.547,612967.0932358298435
0.548,614572.992700729983
0.549,616173.041894349966
0.549,618892.531876140039
0.55,620481.81818181998
0.55,623196.3636363600365
0.551,624774.9546279499755
0.552,626347.8260869600335
0.552,629052.5362318798415
0.553,630614.8282097699105
0.553,633314.6473779398935
0.554,634866.425992779898
0.555,636412.612612609983
0.555,639102.702702699926
0.556,640638.4892086300515
0.557,642168.7612208300255
0.557,644849.192100540035
0.558,646369.175627239978
0.558,649044.802867379969
0.559,650554.561717350035
0.56,652058.9285714300335
0.56,654725
0.561,656219.25133690005
0.561,658880.5704099799025
0.562,660364.768683269851
0.563,661843.6944937799115
0.563,664495.55950265983
0.564,665964.539007090031
0.564,668611.702127659924
0.568,666531.690140849909
0.569,667984.1827767998905
0.569,670608.084358519873
0.57,672050.87719297991
0.571,673488.6164623498905
0.571,676103.3274956198855
0.572,677531.4685314700465
0.573,678954.6247818500255
0.573,681560.209424079859
0.574,682973.867595819988
0.574,685574.9128919900385
0.575,686979.130434779914
0.576,688378.4722222199175
0.576,690970.486111109841
0.577,692360.4852686298515
0.577,694948.006932409944
0.578,696328.719723179935
0.579,697704.663212439975
0.579,700283.246977549976
0.58,701650
0.58,704224.137931030008
0.581,705581.755593799984
0.582,706934.7079037800415
0.582,709500
0.583,710843.910806169964
0.583,713404.8027444300225
0.584,714739.7260273999975
0.585,716070.08547008992
0.585,718622.2222222199165
0.586,719943.686006829839
0.586,722491.4675767899005
0.587,723804.0885860298265
0.588,725112.244897959985
0.588,727651.3605442198435
0.589,728950.764006790004
0.59,730245.762711860004
0.59,732776.2711864400165
0.591,734062.6057529598455
0.591,736588.8324873100485
0.592,737866.554054050006
0.593,739139.966273189986
0.593,741657.6728499198785
0.594,742922.5589225599515
0.594,745436.0269360300135
0.595,746692.4369747899455
0.596,747944.6308724798705
0.596,750449.664429530033
0.597,751693.467336680039
0.597,754194.3048576200355
0.598,755429.7658862899965
0.599,756661.10183638986
0.599,759153.5893155299105
0.603,756593.698175790019
0.604,757812.9139072799565
0.604,760284.768211920045
0.605,761495.8677685998825
0.606,762702.970297029938
0.606,765166.6666666700015
0.607,766365.73311367002
0.608,767560.855263159841
0.608,770016.447368419959
0.609,771203.61247946997
0.609,773655.172413789898
0.61,774834.4262295099885
0.611,776009.8199672698965
0.611,778453.355155479859
0.612,779620.915032679911
0.612,782060.457516339838
0.613,783220.22838499001
0.614,784376.221498369935
0.614,786807.8175895798465
0.615,787956.0975609798905
0.615,790383.739837399914
0.616,791524.350649349856
0.617,792661.2641815198565
0.617,795081.037277149966
0.618,796210.35598704987
0.618,798626.213592229875
0.619,799747.980613889869
0.62,800866.1290322600375
0.62,803274.193548389941
0.621,804384.863123989895
0.621,806789.0499194799905
0.622,807892.282958199966
0.623,808991.9743178200415
0.623,811388.443017659939
0.624,812480.7692307699455
0.625,813569.599999999859
0.625,815958.399999999904
0.626,817039.936102239879
0.626,819424.9201277999655
0.627,820499.202551829859
0.628,821570.06369426986
0.628,823947.4522293000465
0.629,825011.128775829913
0.629,827384.7376788598475
0.63,828441.2698412700535
0.634,825569.400630909948
0.635,826620.47244093986
0.635,828971.653543310004
0.636,830015.723270440006
0.637,831056.5149136600065
0.637,833400.313971739959
0.638,834434.1692790000215
0.639,835464.7887323899175
0.639,837801.2519561799685
0.64,838825
0.64,841157.8125
0.641,842174.726989079963
0.642,843188.4735202498235
0.642,845514.018691590054
0.643,846520.995334369826
0.643,848842.9237947098415
0.644,849843.1677018599565
0.645,850840.3100775198515
0.645,853155.038759690009
0.646,854145.51083590998
0.646,856456.6563467499785
0.647,857440.494590420041
0.648,858421.2962962998985
0.648,860725.308641979934
0.649,861699.5377503898905
0.649,864000
0.65,864967.6923076899235
0.651,865932.4116743500325
0.651,868225.806451610054
0.652,869184.049079749964
0.652,871473.9263803700435
0.653,872425.7274119399925
0.654,873374.6177369998755
0.654,875657.4923547399215
0.655,876600
0.656,877539.6341463399565
0.656,879815.548780489944
0.657,880748.8584474900235
0.657,883021.308980209983
0.658,883948.328267480011
0.659,884872.534142639951
0.659,887138.088012140008
0.66,888056.060606059848
0.66,890318.1818181800165
0.662,889883.6858005998635
0.668,884125.7485029899955
0.669,885035.8744394599905
0.669,887267.563527649964
0.67,888171.6417910398415
0.671,889073.0253353200375
0.671,891298.0625931399385
0.672,892193.452380949863
0.672,894415.178571430033
0.673,895304.6062407100075
0.674,896191.3946587499215
0.674,898406.528189909875
0.675,899287.4074074099735
0.675,901499.259259260025
0.676,902374.260355029951
0.677,903246.6765140299665
0.677,905451.9940915799215
0.678,906318.584070799869
0.678,908520.6489675499
0.679,909381.4432989698825
0.68,910239.705882349981
0.68,912435.2941176500155
0.681,913287.812041119903
0.681,915480.176211450013
0.682,916326.979472139848
0.683,917171.3030746700215
0.683,919357.24743777001
0.684,920195.906432749934
0.684,922378.654970759989
0.685,923211.678832120026
0.686,924042.27405248
0.686,926218.658892130011
0.687,927043.66812226991
0.688,927866.279069769891
0.688,930036.337209299903
0.689,930853.410740199962
0.689,933020.319303340043
0.69,933831.884057970016
0.691,934641.099855280013
0.691,936801.736613600048
0.692,937605.491329479961
0.692,939763.005780349948
0.693,940561.327561330048
0.694,941357.348703169959
0.694,943508.645533140048
0.695,944299.280575539914
0.695,946447.482014389938
0.696,947232.758620689853
0.697,948015.781922529915
0.697,950157.819225250042
0.698,950935.530085959934
0.698,953074.498567339962
0.7,952484.28571428987
0.702,951897.435897439948
0.703,952667.140825039937
0.704,953434.659090909871
0.704,955555.39772726991
0.705,956317.73049644986
0.706,957077.903682719913
0.706,959192.634560910051
0.707,959947.666195190044
0.707,962059.405940589958
0.708,962809.322033899834
0.709,963557.122708040054
0.709,965662.905500710009
0.71,966405.633802819995
0.71,968508.450704229992
0.711,969246.13220815989
0.712,969981.741573029892
0.712,972078.65168538992
0.713,972809.256661989956
0.713,974903.225806450003
0.714,975628.85154061997
0.715,976352.44755245
0.715,978440.559440559937
0.716,979159.217877089976
0.716,981244.413407820041
0.717,981958.158995819973
0.718,982669.916434539946
0.718,984749.303621169875
0.719,985456.189151600001
0.719,987532.684283729873
0.72,988234.722222219916
0.721,988934.812760059951
0.721,991005.547850209985
0.722,991700.831024929879
0.723,992394.190871370023
0.723,994459.197786999863
0.724,995147.790055250048
0.724,997209.944751380009
0.725,997893.793103449975
0.726,998575.757575759895
0.726,1000632.231404999966
0.727,1001309.49105910002
0.727,1003363.1361761
0.728,1004035.714285699881
0.729,1004706.447187899841
0.729,1006754.458161900051
0.73,1007420.547945199997
0.73,1009465.753424699882
0.731,1010127.22298219986
0.732,1010786.8852458999
0.732,1012826.502732199847
0.733,1013481.582537499951
0.733,1015518.417462500042
0.734,1016168.937329699981
0.735,1016817.687074800019
0.735,1018848.979591799896
0.736,1019493.206521699901
0.736,1021521.739130399886
0.737,1022161.465400299986
0.738,1022799.457994599823
0.738,1024822.49322489998
0.739,1025456.021650899898
0.74,1026087.837837799915
0.74,1028105.405405399853
0.741,1028732.793522299963
0.741,1030747.638326599959
0.742,1031370.619946100048
0.743,1031991.924629899903
0.743,1034001.345895000033
0.744,1034618.279569899894
0.744,1036625
0.745,1037237.58389259991
0.746,1037848.525469199985
0.746,1039849.8659516999
0.747,1040456.492637200045
0.747,1042455.153949099823
0.748,1043057.486630999945
0.749,1043658.210947899844
0.749,1045651.535380499901
0.75,1046248
0.75,1048238.666666700037
0.751,1048830.892143799921
0.752,1049421.542553199919
0.752,1051406.914893599691
0.753,1051993.359893799758
0.753,1053976.095617499665
0.754,1054558.355437699703
0.755,1055139.072847699744
0.755,1057116.556291399988
0.756,1057693.121693099845
0.756,1059667.989417999981
0.757,1060240.422721299805
0.758,1060811.345646400001
0.758,1062781.002638499716
0.759,1063347.826086999847
0.76,1063913.157894699832
0.76,1065877.631578899917
0.761,1066438.896189199759
0.761,1068400.788436299653
0.762,1068958.005249300037
0.763,1069513.761467899658
0.763,1071470.511140199841
0.764,1072022.251308899836
0.764,1073976.439790599976
0.765,1074524.183006499891
0.766,1075070.496083599978
0.766,1077019.582245399707
0.767,1077561.929595799648
0.767,1079508.474576300008
0.768,1080046.875
0.769,1080583.875162499954
0.769,1082525.357607299926
