SduBuffer:vector ExtClientServerExample.gnb.cellularNic.rlc.UmTxEntity Lcid: 1 (#0 - test-0-20250830-13:43:36-16472),
0.6321752158,2
0.6325539158,3
0.6328844668,4
0.633,3
0.633,2
0.6333434128,3
0.6336955478,4
0.634,3
0.6342703808,4
0.6346366858,5
0.6349731778,6
0.635,5
0.635,4
0.6355326268,5
0.6358937318,6
0.636,5
0.636,4
0.637,3
0.6378573768,4
0.638,3
0.638,2
0.6384463218,3
0.6388113038,4
0.639,3
0.639,2
0.6393519528,3
0.6397127588,4
0.64,3
0.6402493358,4
0.6406065618,5
0.6409286158,6
0.641,5
0.641,4
0.6418509398,5
0.642,4
0.642,3
0.6424593708,4
0.6428189998,5
0.643,4
0.6434191228,5
0.6437963468,6
0.644,5
0.644,4
0.6443482558,5
0.6447156358,6
0.645,5
0.645,4
0.6452679648,5
0.6456303148,6
0.6459650638,7
0.646,6
0.6465352188,7
0.6468893478,8
0.647,7
0.647,6
0.648,5
0.648,4
0.6489202468,5
0.649,4
0.6495583098,5
0.6499714608,6
0.65,5
0.65,4
0.6505239688,5
0.6508892358,6
0.651,5
0.6514350808,6
0.6517941278,7
0.652,6
0.652,5
0.653,4
0.653,3
0.6533618308,4
0.654,3
0.6548505218,4
0.655,3
0.655,2
0.656,1
0.656,0
0.6574095698,1
0.658,0
0.6635175208,1
0.6639850278,2
0.664,1
0.6645224678,2
0.6649103098,3
0.665,2
0.665,1
0.6654208888,2
0.6658136598,3
0.666,2
0.6662910968,3
0.6666529838,4
0.6669883798,5
0.667,4
0.667,3
0.6674406318,4
0.6677926668,5
0.668,4
0.668,3
0.6684401478,4
0.6688449518,5
0.669,4
0.67,3
0.67,2
0.6703326518,3
0.6707113708,4
0.671,3
0.671,2
0.6712746258,3
0.6716349188,4
0.6719690178,5
0.672,4
0.6725280758,5
0.6728845148,6
0.673,5
0.673,4
0.6733898638,5
0.6737435518,6
0.674,5
0.674,4
0.6746085968,5
0.6749719148,6
0.675,5
0.6755315718,6
0.6758892038,7
0.676,6
0.676,5
0.6764354148,6
0.6767908588,7
0.677,6
0.677,5
0.6773386068,6
0.6776937548,7
0.678,6
0.6782438428,7
0.6786043238,8
0.6789420678,9
0.679,8
0.679,7
0.6794786228,8
0.6798398248,9
0.68,8
0.68,7
0.681,6
0.6818532068,7
0.682,6
0.682,5
0.6825198358,6
0.6829017588,7
0.683,6
0.6834454508,7
0.6838122618,8
0.684,7
0.684,6
0.6843584778,7
0.6847203698,8
0.685,7
0.685,6
0.6856612808,7
0.686,6
0.6862499308,7
0.6866190668,8
0.6869503348,9
0.687,8
0.687,7
0.6875107188,8
0.6879581218,9
0.688,8
0.688,7
0.6888889988,8
0.689,7
0.69,6
0.69,5
0.6902519638,6
0.6908588108,7
0.691,6
0.691,5
0.692,4
0.693,3
0.693,2
0.694,1
0.694,0
0.6957247198,1
0.696,0
0.6977191828,1
0.698,0
0.6984003068,1
0.6988044128,2
0.699,1
0.6992776918,2
0.6996415788,3
0.6999754768,4
0.7,3
0.7,2
0.7005090798,3
0.7008697828,4
0.701,3
0.7013373878,4
0.7016872268,5
0.702,4
0.702,3
0.703,2
0.703,1
0.7037708658,2
0.704,1
0.7044070118,2
0.7047792198,3
0.705,2
0.705,1
0.7053022618,2
0.7056628318,3
0.7059970838,4
0.706,3
0.706,2
0.7065215528,3
0.7068875888,4
0.707,3
0.7078163778,4
0.708,3
0.708,2
0.7083792918,3
0.7087461638,4
0.709,3
0.709,2
0.7093210078,3
0.7096938218,4
0.71,3
0.7102575268,4
0.7106183648,5
0.7109500578,6
0.711,5
0.711,4
0.7114898558,5
0.7118414718,6
0.712,5
0.712,4
0.7124236108,5
0.7128008088,6
0.713,5
0.714,4
0.714,3
0.7144463988,4
0.7148160628,5
0.715,4
0.715,3
0.7153669628,4
0.7157231858,5
0.716,4
0.7162878728,5
0.7166509958,6
0.7169820678,7
0.717,6
0.717,5
0.7174912838,6
0.7178436108,7
0.718,6
0.7187542988,7
0.719,6
0.719,5
0.7192938208,6
0.7196558828,7
0.72,6
0.72,5
0.7202497408,6
0.7206226608,7
0.7209587068,8
0.721,7
0.7215176698,8
0.7218728548,9
0.722,8
0.722,7
0.7224235838,8
0.7227676738,9
0.723,8
0.723,7
0.7233107988,8
0.7236630858,9
0.7239865518,10
0.724,9
0.725,8
0.725,7
0.726,6
0.726,5
0.7268130168,6
0.727,5
0.7274305698,6
0.7277945438,7
0.728,6
0.728,5
0.7283341798,6
0.7286950888,7
0.729,6
0.729,5
0.7295462448,6
0.7299050858,7
0.73,6
0.7304514868,7
0.7308083508,8
0.731,7
0.731,6
0.7313473238,7
0.7317036748,8
0.732,7
0.732,6
0.7322401548,7
0.7325819578,8
0.7328998518,9
0.733,8
0.7334208048,9
0.7337630228,10
0.734,9
0.734,8
0.7342782718,9
0.7346173018,10
0.7349512558,11
0.735,10
0.736,9
0.736,8
0.737,7
0.737,6
0.7375656668,7
0.7379400338,8
0.738,7
0.7384594408,8
0.7388048128,9
0.739,8
0.739,7
0.7392967278,8
0.7396414788,9
0.7399611128,10
0.74,9
0.74,8
0.7408042948,9
0.741,8
0.7413639628,9
0.7417108828,10
0.742,9
0.742,8
0.7422410118,9
0.7425874948,10
0.7429094068,11
0.743,10
0.743,9
0.7434436148,10
0.7438046848,11
0.744,10
0.7443341328,11
0.7446766478,12
0.7449955818,13
0.745,12
0.745,11
0.7454425948,12
0.7457815268,13
0.746,12
0.746,11
0.747,10
0.748,9
0.748,8
0.7483107128,9
0.7486946298,10
0.749,9
0.749,8
0.7492131288,9
0.7495598668,10
0.7498818398,11
0.75,10
0.7504739408,11
0.7508486128,12
0.751,11
0.751,10
0.7516753398,11
0.752,10
0.752,9
0.7522277468,10
0.7525735128,11
0.7528939138,12
0.753,11
0.7534328708,12
0.7537811028,13
0.754,12
0.754,11
0.7543050268,12
0.7546456788,13
0.7549692478,14
0.755,13
0.7554270928,14
0.7557700828,15
0.756,14
0.756,13
0.7563172958,14
0.7566682468,15
0.7569871288,16
0.757,15
0.757,14
0.758,13
0.759,12
0.759,11
0.7595262878,12
0.7599323738,13
0.76,12
0.76,11
0.7604680088,12
0.7608160588,13
0.761,12
0.7613333588,13
0.7616804088,14
0.7619991918,15
0.762,14
0.762,13
0.7628482028,14
0.763,13
0.763,12
0.7633981528,13
0.7637418408,14
0.764,13
0.7642911688,14
0.7646420548,15
0.7649687308,16
0.765,15
0.765,14
0.7654849528,15
0.7658269088,16
0.766,15
0.766,14
0.7662908348,15
0.7666319448,16
0.7669500198,17
0.767,16
0.7674273108,17
0.7677806658,18
0.768,17
0.768,16
0.769,15
0.769,14
0.77,13
0.7704000618,14
0.7707646998,15
0.771,14
0.771,13
0.7712710728,14
0.7716296638,15
0.7719562638,16
0.772,15
0.7724911158,16
0.7728371438,17
0.773,16
0.773,15
0.7736433008,16
0.7739821468,17
0.774,16
0.774,15
0.7744862138,16
0.7748326128,17
0.775,16
0.7753739708,17
0.7757255918,18
0.776,17
0.776,16
0.7762556738,17
0.7766024788,18
0.7768613878,19
0.777,18
0.777,17
0.7773213218,18
0.7776626198,19
0.7779801888,20
0.778,19
0.7784561028,20
0.7787998378,21
0.779,20
0.779,19
0.78,18
0.78,17
0.7809521808,18
0.781,17
0.7815312618,18
0.7818843168,19
0.782,18
0.782,17
0.7823881038,18
0.7827330708,19
0.783,18
0.783,17
0.7832694358,18
0.7836201148,19
0.7839408038,20
0.784,19
0.7848584278,20
0.785,19
0.785,18
0.7853920328,19
0.7857449748,20
0.786,19
0.786,18
0.7862947278,19
0.7866612898,20
0.7869904958,21
0.787,20
0.7874851678,21
0.7878473548,22
