rlcDelayDl:vector ExtClientServerExample.ue.cellularNic.nrRlc.um (#0 - test-0-20250824-22:30:48-60671),
0.576,0.0055795102
0.577,0.0062172362
0.578,0.006707197199999998
0.578,0.0063658202
0.579,0.007049095199999999
0.579,0.006522765199999998
0.58,0.007184937199999999
0.581,0.0073082922
0.581,0.006724879199999998
0.582,0.0073612312
0.582,0.007029827199999999
0.583,0.007505377199999999
0.584,0.008167465199999997
0.584,0.007657947199999999
0.585,0.008320847199999998
0.585,0.007998599199999997
0.586,0.0084871322
0.587,0.0091553012
0.587,0.008333509199999998
0.588,0.008778684199999997
0.589,0.009436912199999997
0.589,0.009120757199999999
0.59,0.0095848322
0.59,0.0092284852
0.591,0.009729868199999998
0.592,0.010388401199999997
0.592,0.0100690872
0.593,0.010609709199999997
0.593,0.010270161199999999
0.594,0.010760307199999999
0.595,0.011422206199999999
0.595,0.011162758199999997
0.596,0.009167186199999999
0.596,0.007487535199999999
0.597,0.0056671142
0.598,0.005394879199999999
0.598,0.004325687199999999
0.599,0.004453807199999999
0.602,0.0043399882
0.603,0.004722138199999999
0.604,0.005339556199999999
0.604,0.0050030452
0.605,0.0054774942
0.606,0.006112304199999999
0.606,0.005280684199999999
0.607,0.005782466199999999
0.607,0.005418569199999998
0.608,0.006085324199999998
0.609,0.006493003199999999
0.609,0.006133034199999999
0.61,0.0065873462
0.61,0.006228980199999999
0.611,0.006691788199999999
0.612,0.0073347372
0.612,0.006997451199999999
0.613,0.007458506199999999
0.613,0.007131491199999999
0.614,0.007262374199999999
0.615,0.007682391199999999
0.615,0.0073330492
0.616,0.0080158382
0.616,0.007513921199999998
0.617,0.008170962199999999
0.618,0.0086520572
0.618,0.008314823199999998
0.619,0.008786359199999999
0.619,0.0084406692
0.62,0.0091221922
0.621,0.009232550199999998
0.621,0.008649441199999999
0.622,0.009289195199999999
0.623,0.0097092722
0.623,0.0093530242
0.624,0.010024697199999998
0.624,0.009488613199999999
0.625,0.010142672199999997
0.626,0.010603782199999998
0.626,0.010253358199999999
0.627,0.010700914199999998
0.627,0.010342153199999998
0.628,0.010999280199999999
0.629,0.0087410942
0.629,0.0070549172
0.63,0.006268843199999998
0.63,0.005379632199999999
0.631,0.005564967199999999
0.632,0.006074265199999999
0.632,0.005426350199999999
0.633,0.0060143712
0.633,0.005400403199999998
0.635,0.004176123199999999
0.636,0.004622312199999999
0.637,0.005256878199999998
0.637,0.004714908199999999
0.638,0.005342853199999999
0.639,0.0060004042
0.639,0.005046001199999998
0.64,0.005548188199999999
0.64,0.005191602199999999
0.641,0.005656415199999998
0.642,0.006300289199999999
0.642,0.005770811199999999
0.643,0.0064167062
0.643,0.0060879612
0.644,0.006565682199999998
0.645,0.007228448199999999
0.645,0.006713547199999999
0.646,0.007366797199999998
0.646,0.0070464502
0.647,0.006459133199999999
0.648,0.007097490199999998
0.648,0.006495931199999999
0.649,0.007119577199999999
0.649,0.006517900199999999
0.65,0.007152442199999999
0.651,0.007610504199999999
0.651,0.0072575212
0.652,0.007329264199999999
0.652,0.006755838199999999
0.653,0.007389532199999999
0.654,0.008060616199999998
0.654,0.007518710199999998
0.655,0.008178021199999999
0.656,0.008652779199999998
0.656,0.008312574199999998
0.657,0.008997610199999998
0.657,0.008469380199999997
0.658,0.009144169199999999
0.659,0.009599200199999997
0.659,0.009260159199999999
0.66,0.0077858322
0.66,0.0074145132
0.661,0.008088516199999999
0.662,0.008584157199999997
0.662,0.0082411132
0.663,0.008737336199999997
0.663,0.008344980199999997
0.664,0.009008460199999998
0.665,0.0090675822
0.665,0.008521424199999998
0.666,0.0091776332
0.666,0.008629891199999999
0.667,0.0092798002
0.668,0.009754959199999999
0.668,0.0094125052
0.669,0.0100918932
0.669,0.0095732652
0.67,0.0102342222
0.671,0.0107024852
0.671,0.010360852199999999
0.672,0.0110434272
0.673,0.009526879199999997
0.673,0.0091496652
0.674,0.009651786199999998
0.674,0.009305501199999999
0.675,0.009785604199999998
0.676,0.0104329672
0.676,0.010110047199999999
0.677,0.010204175199999998
0.677,0.009682503199999997
0.678,0.010299559199999998
0.679,0.0107166442
0.679,0.010355422199999998
0.68,0.011029952199999998
0.68,0.010491607199999999
0.681,0.0111452252
0.682,0.011649120199999998
0.682,0.011311083199999998
0.683,0.0117820192
0.683,0.011430560199999998
0.684,0.012104092199999999
0.685,0.010363096199999997
0.685,0.009797832199999998
0.686,0.0104354652
0.686,0.010104993199999998
0.687,0.010598174199999997
0.688,0.011260107199999997
0.688,0.010327185199999998
0.689,0.010763874199999998
0.689,0.0103962402
0.69,0.011058866199999999
0.691,0.011462309199999999
0.691,0.011099289199999997
0.692,0.011531311199999998
0.693,0.012126945199999999
0.693,0.011556474199999999
0.694,0.012195860199999998
0.694,0.011582835199999998
0.695,0.0122267962
0.696,0.010527519199999998
0.696,0.0101039952
0.697,0.010542296199999998
0.697,0.0101146602
0.698,0.010388344199999999
0.699,0.009455847199999999
0.699,0.008577460199999997
0.7,0.009043401199999998
0.7,0.008381882199999999
0.701,0.008702588199999999
0.702,0.009250670199999998
0.702,0.0085633752
0.703,0.009016467199999999
0.703,0.005638193199999998
0.704,0.006200809199999999
0.705,0.006672690199999999
0.705,0.0062779502
0.706,0.0063244062
0.706,0.0057512272
0.707,0.006380500199999999
0.708,0.0070447102
0.708,0.006469130199999999
0.709,0.007104724199999998
0.71,0.007559226199999999
0.71,0.007207415199999999
0.711,0.007688965199999999
0.711,0.007351187199999999
0.712,0.0080345902
0.713,0.008529229199999998
0.713,0.008179960199999999
0.714,0.007604154199999999
0.714,0.007236334199999999
0.715,0.007677138199999999
0.716,0.008298456199999998
0.716,0.007765523199999999
0.717,0.008411517199999999
0.717,0.008082304199999997
0.718,0.008584472199999998
0.719,0.009218174199999998
0.719,0.008396489199999999
0.72,0.009049529199999999
0.72,0.008484612199999998
0.721,0.009127160199999997
0.722,0.009573826199999999
0.722,0.0092162592
0.723,0.009662138199999999
0.723,0.009311416199999998
0.724,0.009780859199999998
0.725,0.010429146199999999
0.725,0.010102299199999997
0.726,0.010584469199999998
0.726,0.010242087199999999
0.727,0.008498987199999998
0.728,0.009089837199999999
0.728,0.008468150199999999
0.729,0.009095993199999999
0.73,0.009478647199999998
0.73,0.009065061199999998
0.731,0.008239962199999999
0.731,0.007224810199999999
0.732,0.007238177199999999
0.733,0.007367766199999998
0.733,0.006641090199999999
0.734,0.007211969199999999
0.735,0.004522088199999999
0.736,0.005104315199999999
0.736,0.004561409199999999
0.737,0.005172459199999999
0.738,0.005235378199999999
0.738,0.004651826199999998
0.739,0.005292872199999999
0.739,0.004749786199999999
0.74,0.005394417199999999
0.741,0.006054459199999999
0.741,0.0055238192
0.742,0.006175010199999999
0.742,0.005657427199999998
0.743,0.006317300199999998
0.744,0.0067969932
0.744,0.006454771199999998
0.745,0.0071399072
0.745,0.005493902199999999
0.746,0.006123668199999999
0.747,0.006592449199999999
0.747,0.0062353002
0.748,0.006712503199999999
0.748,0.0063548822
0.749,0.007033147199999999
0.75,0.007513544199999999
0.75,0.007169749199999998
0.751,0.0072752062
0.751,0.006731440199999999
0.752,0.007380739199999999
0.753,0.0080600592
0.753,0.007495194199999999
0.754,0.008131828199999999
0.755,0.0086027732
0.755,0.008252250199999998
0.756,0.008716764199999997
0.756,0.008366728199999999
0.757,0.009035065199999997
0.758,0.009478642199999998
0.758,0.009121173199999998
0.759,0.007515222199999999
0.759,0.007119090199999998
0.76,0.007593113199999999
0.761,0.008238752199999997
0.761,0.007699195199999999
0.762,0.008340424199999998
0.762,0.008013213199999997
0.763,0.007744169199999999
0.764,0.0082373822
0.764,0.006642766199999998
0.765,0.0065655712
0.765,0.006022624199999999
0.766,0.006257339199999999
0.768,0.004234299199999999
0.769,0.004371055199999999
0.77,0.004284187199999999
0.771,0.0047240462
0.772,0.005358701199999999
0.772,0.005028312199999999
0.773,0.005547569199999999
0.774,0.0061902312
0.774,0.005679942199999999
0.775,0.006322579199999999
0.775,0.005796567199999999
0.776,0.006451770199999999
0.777,0.007131490199999999
0.777,0.006621213199999999
0.778,0.007281513199999999
0.778,0.005715550199999998
0.779,0.006338019199999999
0.78,0.0067999962
0.78,0.006453003199999999
0.781,0.007086897199999999
0.781,0.006553346199999998
0.782,0.007191492199999999
0.783,0.007674644199999998
0.783,0.007334456199999998
0.784,0.008015327199999998
0.784,0.007224634199999999
0.785,0.0076852472
0.786,0.008345841199999998
0.786,0.0080304962
0.787,0.008490173199999999
0.787,0.008145859199999997
0.788,0.008612127199999999
0.789,0.009262127199999997
0.789,0.008732634199999998
0.79,0.0093828252
0.791,0.010055362199999997
0.791,0.009525805199999997
0.792,0.010184124199999998
0.792,0.0080760232
0.793,0.0085062682
0.794,0.0091392702
0.794,0.008609665199999998
0.795,0.009255362199999998
0.795,0.0087483382
0.796,0.0094094402
0.797,0.010091087199999997
0.797,0.009176883199999999
0.798,0.009640382199999998
0.798,0.009288509199999999
0.799,0.009722149199999998
0.8,0.010365924199999997
0.8,0.010034155199999998
0.801,0.0105177012
0.801,0.010137867199999997
0.802,0.0106005552
0.803,0.011252868199999998
0.803,0.010704381199999998
0.804,0.0113512482
0.804,0.011015894199999997
0.805,0.009251102199999999
